Individual ID,Species,Region,Island,Date Egg,Body Mass (g),n_eggs
N21A1,Adelie,Anvers,Biscoe,11/6/08,3500.0,1
N21A2,Adelie,Anvers,Biscoe,11/6/08,4300.0,1
N22A1,Adelie,Anvers,Biscoe,11/9/08,3450.0,1
N22A2,Adelie,Anvers,Biscoe,11/9/08,4050.0,2
N23A1,Adelie,Anvers,Biscoe,11/9/08,2900.0,1
N23A2,Adelie,Anvers,Biscoe,11/9/08,3700.0,2
N24A1,Adelie,Anvers,Biscoe,11/15/08,3550.0,2
N24A2,Adelie,Anvers,Biscoe,11/15/08,3800.0,3
N25A1,Adelie,Anvers,Biscoe,11/15/08,2850.0,2
N25A2,Adelie,Anvers,Biscoe,11/15/08,3750.0,3
N27A1,Adelie,Anvers,Biscoe,11/13/08,3150.0,1
N27A2,Adelie,Anvers,Biscoe,11/13/08,4400.0,3
N28A1,Adelie,Anvers,Biscoe,11/13/08,3600.0,1
N28A2,Adelie,Anvers,Biscoe,11/13/08,4050.0,2
N29A1,Adelie,Anvers,Biscoe,11/13/08,2850.0,3
N29A2,Adelie,Anvers,Biscoe,11/13/08,3950.0,1
N30A1,Adelie,Anvers,Biscoe,11/6/08,3350.0,2
N30A2,Adelie,Anvers,Biscoe,11/6/08,4100.0,2
N32A1,Adelie,Anvers,Torgersen,11/11/08,3050.0,3
N32A2,Adelie,Anvers,Torgersen,11/11/08,4450.0,2
N34A1,Adelie,Anvers,Torgersen,11/14/08,3600.0,3
N34A2,Adelie,Anvers,Torgersen,11/14/08,3900.0,3
N35A1,Adelie,Anvers,Torgersen,11/11/08,3550.0,1
N35A2,Adelie,Anvers,Torgersen,11/11/08,4150.0,2
N36A1,Adelie,Anvers,Torgersen,11/8/08,3700.0,2
N36A2,Adelie,Anvers,Torgersen,11/8/08,4250.0,1
N37A1,Adelie,Anvers,Torgersen,11/6/08,3700.0,3
N37A2,Adelie,Anvers,Torgersen,11/6/08,3900.0,2
N38A1,Adelie,Anvers,Torgersen,11/9/08,3550.0,1
N38A2,Adelie,Anvers,Torgersen,11/9/08,4000.0,3
N39A1,Adelie,Anvers,Torgersen,11/2/08,3200.0,1
N39A2,Adelie,Anvers,Torgersen,11/2/08,4700.0,3
N40A1,Adelie,Anvers,Torgersen,11/7/08,3800.0,3
N40A2,Adelie,Anvers,Torgersen,11/7/08,4200.0,2
N41A1,Adelie,Anvers,Dream,11/17/08,3350.0,1
N41A2,Adelie,Anvers,Dream,11/17/08,3550.0,1
